case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
157,spleen_mouse_FDISCO_20250518_165945,63.6,1.00786,29.0146,21.8566,19.9452,10.4011,79.0972,29.0234,0,5,2,0.72788
158,spleen_mouse_FDISCO_20250518_170246,50.9,1.10805,38.5593,26.3669,20.9134,13.1195,108.996,38.5677,0,5,2,0.65549
159,stomach_mouse_FDISCO_20250518_152929,168.6,1.01068,82.3321,73.2966,64.0711,14.7346,55.9381,82.3411,0,5,2,0.75549
160,stomach_mouse_FDISCO_20250518_155856,177.3,1.00169,81.3889,71.3454,58.8994,16.3015,69.5592,81.3935,0,5,4,0.763183
161,stomach_mouse_FDISCO_20250518_162157,99.7,1.01204,69.3519,57.5514,47.252,13.4819,79.7475,69.3534,0,5,1,0.78982
162,stomach_mouse_FDISCO_20250518_163729,162.6,1.02583,76.5792,67.3759,55.8779,16.3491,67.949,76.5882,0,5,2,0.731393
163,stomach_mouse_FDISCO_20250518_164109,206.2,1.04995,94.2611,83.8017,70.2148,16.5485,64.2981,94.2655,0,5,2,
164,stomach_mouse_FDISCO_20250518_164943,161.4,1.00062,79.5666,67.5577,56.5344,14.1735,72.3294,79.5712,0,5,2,
165,heart_mouse_FDISCO_20250527_161244,57.9,1.05527,47.7531,38.683,34.5347,10.446,65.0891,47.7699,0,5,2,0.727401
166,heart_mouse_FDISCO_20250527_161656,59,1.0661,49.2601,40.7095,37.2168,9.95636,57.6371,49.2658,0,5,2,0.745834
167,kidney_mouse_FDISCO_20250527_162502,86,1,48.315,39.4844,35.896,10.3609,64.0483,48.3379,0,5,2,0.662255
168,kidney_mouse_FDISCO_20250527_162734,79.4,1.08438,45.6742,37.5511,34.4768,9.88005,61.7105,45.6928,0,5,2,0.662255
169,kidney_mouse_FDISCO_20250527_165116,133.2,1.06081,42.9994,32.6149,26.8328,10.9965,96.1399,43.0094,0,5,2,0.703829
170,kidney_mouse_FDISCO_20250527_165420,81.7,1.09058,50.4792,41.886,38.3693,11.001,60.733,50.502,0,5,2,0.641354
171,liver_mouse_FDISCO_20250527_160205,194.6,1.09198,36.3682,24.9876,21.377,7.35187,103.361,36.372,0,5,2,0.695651
172,liver_mouse_FDISCO_20250527_163435,234.2,1.04611,52.8319,41.4951,35.9476,10.0489,81.1405,52.8412,0,5,2,0.624226
173,lung_mouse_FDISCO_20250527_154328,293.7,0.742,76.9248,60.9028,49.916,11.9499,91.981,76.9259,0,5,2,0.744392
174,lung_mouse_FDISCO_20250527_154756,277.5,0.769,78.176,60.3842,48.2386,11.9341,101.228,78.1768,0,5,2,0.749174
175,lung_mouse_FDISCO_20250527_155407,294.2,1.01005,63.9979,46.8568,37.9645,9.64143,110.086,63.9989,1,5,2,0.725619
176,lung_mouse_FDISCO_20250527_160515,164.1,0.808,48.3257,37.7444,32.6999,9.75805,82.739,48.3355,0,5,2,0.793639
177,spleen_mouse_FDISCO_20250527_162102,53.1,1.00188,25.968,20.767,19.0374,10.7567,68.4404,25.9883,0,5,2,0.682218
